n	drug	dataset	feature	effect	z_sampled	mean_value	sd_value	drug_feature	dataset_feature
102	6	2	713	1.4806834147315158	9.495000708079928	8.014317293348412	0.9849436118906402	drugs_6	metagenomics_713
103	8	2	433	1.8228647500256923	9.744283835981465	7.9214190859557725	1.0422343735035584	drugs_8	metagenomics_433
104	1	3	136	0.5813372837951594	10.625929639848108	10.044592356052949	1.009457782407739	drugs_1	proteomics_136
105	19	3	129	-0.1280361282267819	9.828650766570876	9.956686894797658	1.0035030422313254	drugs_19	proteomics_129
106	4	3	9	-0.4115364271107165	9.554881546816638	9.966417973927355	0.9491117873926518	drugs_4	proteomics_9
107	3	2	984	1.50150737022504	9.521400964852088	8.019893594627048	0.9629329713851043	drugs_3	metagenomics_984
108	2	3	136	-0.8152634565190784	9.290651397824497	10.105914854343576	1.0271379915442997	drugs_2	proteomics_136
109	17	2	159	-2.6444112343732273	5.300745300050246	7.945156534423473	0.9779746435920778	drugs_17	metagenomics_159
110	20	3	192	1.0012750644436164	10.43238403510431	9.431108970660693	1.8422937116065614	drugs_20	proteomics_192
111	8	2	364	-2.3978977779717	5.800831045846284	8.198728823817984	1.1154349405514221	drugs_8	metagenomics_364
112	11	2	230	1.3429350519065286	9.31725675189462	7.974321699988091	1.0391959615118276	drugs_11	metagenomics_230
113	17	2	40	-2.178273255877577	5.816109785909837	7.9943830417874135	1.0036565126931734	drugs_17	metagenomics_40
114	18	3	101	-2.6740335994826756	7.3947175616810545	10.06875116116373	0.9699011850739001	drugs_18	proteomics_101
115	15	3	137	-1.6647320486173935	8.322222738372869	9.986954786990262	0.9901234034521063	drugs_15	proteomics_137
116	10	3	42	-1.22215882567294	8.682133501403388	9.904292327076329	0.9874585699379026	drugs_10	proteomics_42
117	18	2	558	-1.9952049517619992	6.05755449782555	8.05275944958755	1.0224221821348123	drugs_18	metagenomics_558
118	17	2	353	-3.3418700442107436	4.646473354374439	7.988343398585183	1.0018987927355651	drugs_17	metagenomics_353
119	16	2	385	1.2701657663419255	9.204137800725515	7.93397203438359	1.0183271232187403	drugs_16	metagenomics_385
120	1	3	67	1.0893454443369865	10.779299624019444	9.689954179682458	1.1516278624121397	drugs_1	proteomics_67
121	18	3	33	-2.4864528833233175	7.542061773775756	10.028514657099073	1.050715610164817	drugs_18	proteomics_33
122	19	2	688	-3.831020007416903	4.2174951623945685	8.048515169811472	0.9990018327848805	drugs_19	metagenomics_688
123	17	2	770	-0.7786310733444486	7.246088360444248	8.024719433788697	0.9324133634969789	drugs_17	metagenomics_770
124	18	2	34	3.567133135018416	11.571823706754817	8.0046905717364	1.016462667763762	drugs_18	metagenomics_34
125	20	2	527	0.013459145010914497	7.990725948298986	7.977266803288072	1.0278647672701786	drugs_20	metagenomics_527
126	6	2	832	-0.6413172419443836	7.411688714659016	8.0530059566034	0.99923605322448406	drugs_6	metagenomics_832
127	12	3	95	-0.14490525022077705	9.889967752577922	10.0348730027987	1.0190338423880054	drugs_12	proteomics_95
128	15	3	189	-2.5198941822264	7.48697224541387	10.00686642764027	0.9751747576878785	drugs_15	proteomics_189
129	20	2	867	1.036964095883743	9.090782449237038	8.053818353353295	1.059803825615908	drugs_20	metagenomics_867
130	9	2	594	-2.3055193618930607	5.712066546710861	8.017585908603921	1.0273830332041456	drugs_9	metagenomics_594
131	6	2	388	-0.9473527201957577	6.99415896453133	7.941511684727088	0.9642729389599103	drugs_6	metagenomics_388
132	5	2	282	-0.9769271648630333	7.036778503916937	8.01370566877997	1.026884927828214	drugs_5	metagenomics_282
133	16	2	62	-0.10211285733884079	7.895588004848594	7.997700862187434	1.0337736020884263	drugs_16	metagenomics_62
134	11	3	148	1.0792494529449215	11.17539937699695	10.096149924052028	0.9892445658096904	drugs_11	proteomics_148
135	1	2	724	-4.9497728489944395	3.147021651627612	8.096794500622051	1.0207594991783766	drugs_1	metagenomics_724
136	10	2	828	0.6670457248313983	8.655074251740444	7.988028526909046	0.9971322484945051	drugs_10	metagenomics_828
137	2	2	964	-1.1538067790012034	6.8568227160607895	8.010629495061993	1.0234329520713323	drugs_2	metagenomics_964
138	18	2	565	-4.407818467466082	3.5356096110547206	7.943428078520802	1.0035084105532124	drugs_18	metagenomics_565
139	7	2	579	-4.538440944365723	3.492754546375382	8.031195490741105	0.9782028565689401	drugs_7	metagenomics_579
140	10	2	900	1.1377407594047408	9.036312245005751	7.8985714856010105	0.9850744116550765	drugs_10	metagenomics_900
141	11	3	80	1.3758370538924307	11.223769662013169	9.847932608120738	1.1747855260006894	drugs_11	proteomics_80
142	2	2	930	-2.6924459103537712	5.3811946775318384	8.07364058788561	1.0674669747793541	drugs_2	metagenomics_930
143	10	3	147	-0.13597156503752927	9.845187814691648	9.981159379729178	1.0215626502888295	drugs_10	proteomics_147
144	2	2	382	-0.8354942265822176	7.168857364840471	8.004351591422688	0.973914482098203	drugs_2	metagenomics_382
145	4	3	90	-0.9951068834073862	8.974287326447246	9.969394209854633	0.9915306411654721	drugs_4	proteomics_90
146	8	3	152	2.1410039417862805	12.23388342295272	10.09287948116644	1.0057480458208283	drugs_8	proteomics_152
147	5	3	67	0.908840539537815	10.719076612032481	9.810236072494666	1.2095216989086162	drugs_5	proteomics_67
148	16	3	144	0.5864592539520235	10.624195928509327	10.037736674557303	1.0091434799118824	drugs_16	proteomics_144
149	7	3	120	-0.8102370237007843	9.322410915423553	10.132647939124338	1.0073884166894458	drugs_7	proteomics_120
150	3	2	80	-2.5607212379396547	5.463158325035103	8.023879562974757	0.972709439161703	drugs_3	metagenomics_80
151	11	3	16	-0.7730373519498528	9.210873597083944	9.983910949033797	1.0382638783087477	drugs_11	proteomics_16
152	19	3	171	1.4990757778113366	11.42105520328798	9.921979425476643	0.9795780700421088	drugs_19	proteomics_171
153	1	3	65	-2.374352399223712	7.552456911704148	9.92680931092786	0.9687384438893059	drugs_1	proteomics_65
154	19	3	19	1.1744837719499568	11.25263177731851	10.078148005368552	0.9759421326038804	drugs_19	proteomics_19
155	13	2	250	-0.00972279532730358	7.965600559659039	7.975323354986343	1.059466771618368	drugs_13	metagenomics_250
156	2	2	51	0.6004268413344942	8.599197053845778	7.998770212511284	1.0074696805418186	drugs_2	metagenomics_51
157	7	2	674	-0.9380648158546077	7.109788923471669	8.047853739326277	1.0076717365748762	drugs_7	metagenomics_674
158	6	2	125	-1.9589618662089974	6.075091511898136	8.034053378107133	1.0474544795190215	drugs_6	metagenomics_125
159	2	3	130	0.14122849093614498	10.145588071412384	10.004359580476239	1.0332208033155952	drugs_2	proteomics_130
160	17	3	126	0.3461267059334592	10.363303658295507	10.017176952362048	0.9426644250865934	drugs_17	proteomics_126
161	4	3	191	-1.589747805832955	8.426881005091591	10.016628810924546	1.0481217418462652	drugs_4	proteomics_191
162	14	3	165	1.6530144310572883	11.624563511789338	9.97154908073205	0.9698756050451985	drugs_14	proteomics_165
163	15	3	80	0.4066447899094978	10.441131574829209	10.03448678491971	1.2530154964358051	drugs_15	proteomics_80
164	3	2	350	0.8335247834299455	8.88370838098861	8.050183597558664	0.9932807004903459	drugs_3	metagenomics_350
165	10	3	90	-4.012808253869908	5.856239043372215	9.869047297242123	1.0479754997224993	drugs_10	proteomics_90
166	5	3	195	-2.8867883466700475	7.101067086118555	9.987855432788603	0.9733097632013948	drugs_5	proteomics_195
167	13	2	310	1.4541410590629038	9.520275763934558	8.066134704871654	1.034293480600198	drugs_13	metagenomics_310
168	2	3	179	1.9236216046817685	11.93752622759424	10.013904622912472	0.9666710652721431	drugs_2	proteomics_179
169	20	3	57	-2.1013910924731007	7.867383863963532	9.968774956436633	0.9786577088541135	drugs_20	proteomics_57
170	19	2	130	-1.2194362684923101	6.748402475353579	7.967838743845889	1.0031657915766758	drugs_19	metagenomics_130
171	9	3	74	0.280692752135959	10.282063598706854	10.001370846570895	1.0212911124122075	drugs_9	proteomics_74
172	16	3	200	-0.3477643485004034	9.659037633155064	10.006801981655467	0.9614830813056224	drugs_16	proteomics_200
173	13	2	753	-0.7142933875430106	7.289455327875819	8.00374871541883	1.0357923559983568	drugs_13	metagenomics_753
174	11	3	162	0.023616167434429514	9.840800193000208	9.817184025565778	0.9914736935023376	drugs_11	proteomics_162
175	17	2	212	-2.998349971514725	4.9750600938267215	7.973410065341446	1.0079862934626758	drugs_17	metagenomics_212
176	5	2	337	-1.3537208754057541	6.6847727394357115	8.038493614841466	0.9965555367347716	drugs_5	metagenomics_337
177	6	3	146	-1.4246217910599714	8.719936832878837	10.144558623938808	1.0729150385841704	drugs_6	proteomics_146
178	14	2	787	-3.6244099302432806	4.34824087227792	7.9726508025212	0.9823216465746757	drugs_14	metagenomics_787
179	3	2	101	1.797534378193177	9.803758096296177	8.006223718103	1.1012634558166614	drugs_3	metagenomics_101
180	6	3	31	3.790474290952538	13.820013211589748	10.02953892063721	1.0198742188876797	drugs_6	proteomics_31
181	9	3	111	-1.1080089742829706	8.840483424593224	9.948492398876194	0.9758922311584164	drugs_9	proteomics_111
182	16	2	460	-1.165942077525128	6.757350175466738	7.923292252991866	0.9952104225151586	drugs_16	metagenomics_460
183	7	2	533	0.5588949621652333	8.55129426049636	7.992399298331128	1.0051335534400379	drugs_7	metagenomics_533
184	13	3	118	3.1714458899476075	13.161180830835631	9.989734940888024	1.0346964894053807	drugs_13	proteomics_118
185	20	3	16	-2.468938038030826	7.405472905547073	9.8744109435779	1.0713907998069923	drugs_20	proteomics_16
186	5	2	116	-3.136132405940576	4.779271095237245	7.915403501177821	0.9789078408903255	drugs_5	metagenomics_116
187	16	3	177	3.8639048293129648	13.820823873796154	9.95691904448319	0.9869192051083779	drugs_16	proteomics_177
188	12	2	369	0.9312720629835791	9.07261881385965	8.141346750876071	0.9834967716197451	drugs_12	metagenomics_369
189	1	3	101	1.0162851523069314	10.678491590637107	9.662206438330175	1.3870908438226905	drugs_1	proteomics_101
190	19	3	182	-0.13412380852580874	9.83229994174294	9.96642375026875	0.968906846367181	drugs_19	proteomics_182
191	1	3	184	0.5011121360940667	10.426174291578452	9.925062155484385	1.058657612885099	drugs_1	proteomics_184
192	12	3	131	-1.7829228258546141	8.24700197848838	10.029924804342993	1.0063310161511345	drugs_12	proteomics_131
193	1	2	229	0.8531882267646598	8.857623832665915	8.004435605901255	0.9963049791257832	drugs_1	metagenomics_229
194	3	3	90	4.4399285529171255	13.75257806705964	9.312649514142514	1.7293548393732865	drugs_3	proteomics_90
195	9	3	68	0.34337332858755865	10.548544549926389	10.20517122133883	1.0951788795544561	drugs_9	proteomics_68
196	9	2	157	2.25193507172726	10.208438323458196	7.956503251730936	1.0014245814776614	drugs_9	metagenomics_157
197	19	2	168	-0.5423518787981196	7.501312086663698	8.043663965461818	1.0498573731125123	drugs_19	metagenomics_168
198	11	3	160	1.5854114396053234	11.53107359298332	9.945662153377997	0.996195203395561	drugs_11	proteomics_160
199	3	3	158	0.06727670916151496	10.079732434420817	10.012455725259302	1.008312027639451	drugs_3	proteomics_158
200	4	3	133	-2.8381003843048678	7.148749821801806	9.986850206106674	0.9094440365975218	drugs_4	proteomics_133
