feature_a_id	feature_b_id	feature_a_name	feature_b_name	feature_b_dataset	ks_distance
1	2	proteomics_2	proteomics_3	random.continuous_basic.proteomics	0.0274
2	11	proteomics_3	metagenomics_7	random.continuous_basic.metagenomics	0.0266
4	3	proteomics_5	proteomics_4	random.continuous_basic.proteomics	0.0264
3	6	proteomics_4	metagenomics_2	random.continuous_basic.metagenomics	0.025
1	5	proteomics_2	metagenomics_1	random.continuous_basic.metagenomics	0.024
3	12	proteomics_4	metagenomics_8	random.continuous_basic.metagenomics	-0.024
1	3	proteomics_2	proteomics_4	random.continuous_basic.proteomics	0.0236
2	1	proteomics_3	proteomics_2	random.continuous_basic.proteomics	-0.021
3	8	proteomics_4	metagenomics_4	random.continuous_basic.metagenomics	-0.0208
0	11	proteomics_1	metagenomics_7	random.continuous_basic.metagenomics	0.0202
2	9	proteomics_3	metagenomics_5	random.continuous_basic.metagenomics	0.02
0	10	proteomics_1	metagenomics_6	random.continuous_basic.metagenomics	-0.0196
3	11	proteomics_4	metagenomics_7	random.continuous_basic.metagenomics	-0.0194
1	14	proteomics_2	metagenomics_10	random.continuous_basic.metagenomics	-0.0188
0	6	proteomics_1	metagenomics_2	random.continuous_basic.metagenomics	0.0188
4	13	proteomics_5	metagenomics_9	random.continuous_basic.metagenomics	0.018
2	8	proteomics_3	metagenomics_4	random.continuous_basic.metagenomics	0.0176
0	9	proteomics_1	metagenomics_5	random.continuous_basic.metagenomics	-0.0174
2	12	proteomics_3	metagenomics_8	random.continuous_basic.metagenomics	-0.0172
3	1	proteomics_4	proteomics_2	random.continuous_basic.proteomics	0.017
2	6	proteomics_3	metagenomics_2	random.continuous_basic.metagenomics	-0.017
3	10	proteomics_4	metagenomics_6	random.continuous_basic.metagenomics	0.0156
4	0	proteomics_5	proteomics_1	random.continuous_basic.proteomics	0.0148
0	1	proteomics_1	proteomics_2	random.continuous_basic.proteomics	0.0148
2	10	proteomics_3	metagenomics_6	random.continuous_basic.metagenomics	0.0142
4	2	proteomics_5	proteomics_3	random.continuous_basic.proteomics	0.014
4	9	proteomics_5	metagenomics_5	random.continuous_basic.metagenomics	0.0136
0	7	proteomics_1	metagenomics_3	random.continuous_basic.metagenomics	0.0128
0	5	proteomics_1	metagenomics_1	random.continuous_basic.metagenomics	-0.0124
1	0	proteomics_2	proteomics_1	random.continuous_basic.proteomics	0.0118
3	9	proteomics_4	metagenomics_5	random.continuous_basic.metagenomics	0.0114
3	5	proteomics_4	metagenomics_1	random.continuous_basic.metagenomics	-0.008
1	1	proteomics_2	proteomics_2	random.continuous_basic.proteomics	0.0
4	4	proteomics_5	proteomics_5	random.continuous_basic.proteomics	0.0
2	2	proteomics_3	proteomics_3	random.continuous_basic.proteomics	0.0
3	3	proteomics_4	proteomics_4	random.continuous_basic.proteomics	0.0
0	0	proteomics_1	proteomics_1	random.continuous_basic.proteomics	0.0
