ID	protein_1	protein_2	protein_3	protein_4	protein_5	protein_6	protein_7	protein_8	protein_9	protein_10	protein_11	protein_12	protein_13	protein_14	protein_15	protein_16	protein_17	protein_18	protein_19	protein_20	protein_21	protein_22	protein_23	protein_24	protein_25	protein_26	protein_27	protein_28	protein_29	protein_30	protein_31	protein_32	protein_33	protein_34	protein_35	protein_36	protein_37	protein_38	protein_39	protein_40	protein_41	protein_42	protein_43	protein_44	protein_45	protein_46	protein_47	protein_48	protein_49	protein_50	protein_51	protein_52	protein_53	protein_54	protein_55	protein_56	protein_57	protein_58	protein_59	protein_60	protein_61	protein_62	protein_63	protein_64	protein_65	protein_66	protein_67	protein_68	protein_69	protein_70	protein_71	protein_72	protein_73	protein_74	protein_75	protein_76	protein_77	protein_78	protein_79	protein_80	protein_81	protein_82	protein_83	protein_84	protein_85	protein_86	protein_87	protein_88	protein_89	protein_90	protein_91	protein_92	protein_93	protein_94	protein_95	protein_96	protein_97	protein_98	protein_99	protein_100	protein_101	protein_102	protein_103	protein_104	protein_105	protein_106	protein_107	protein_108	protein_109	protein_110	protein_111	protein_112	protein_113	protein_114	protein_115	protein_116	protein_117	protein_118	protein_119	protein_120	protein_121	protein_122	protein_123	protein_124	protein_125	protein_126	protein_127	protein_128	protein_129	protein_130	protein_131	protein_132	protein_133	protein_134	protein_135	protein_136	protein_137	protein_138	protein_139	protein_140	protein_141	protein_142	protein_143	protein_144	protein_145	protein_146	protein_147	protein_148	protein_149	protein_150	protein_151	protein_152	protein_153	protein_154	protein_155	protein_156	protein_157	protein_158	protein_159	protein_160	protein_161	protein_162	protein_163	protein_164	protein_165	protein_166	protein_167	protein_168	protein_169	protein_170	protein_171	protein_172	protein_173	protein_174	protein_175	protein_176	protein_177	protein_178	protein_179	protein_180	protein_181	protein_182	protein_183	protein_184	protein_185	protein_186	protein_187	protein_188	protein_189	protein_190	protein_191	protein_192	protein_193	protein_194	protein_195	protein_196	protein_197	protein_198	protein_199	protein_200	protein_201	protein_202	protein_203	protein_204	protein_205	protein_206	protein_207	protein_208	protein_209	protein_210	protein_211	protein_212	protein_213	protein_214	protein_215	protein_216	protein_217	protein_218	protein_219	protein_220	protein_221	protein_222	protein_223	protein_224	protein_225	protein_226	protein_227	protein_228	protein_229	protein_230	protein_231	protein_232	protein_233	protein_234	protein_235	protein_236	protein_237	protein_238	protein_239	protein_240	protein_241	protein_242	protein_243	protein_244	protein_245	protein_246	protein_247	protein_248	protein_249	protein_250	protein_251	protein_252	protein_253	protein_254	protein_255	protein_256	protein_257	protein_258	protein_259	protein_260	protein_261	protein_262	protein_263	protein_264	protein_265	protein_266	protein_267	protein_268	protein_269	protein_270	protein_271	protein_272	protein_273	protein_274	protein_275	protein_276	protein_277	protein_278	protein_279	protein_280	protein_281	protein_282	protein_283	protein_284	protein_285	protein_286	protein_287	protein_288	protein_289	protein_290	protein_291	protein_292	protein_293	protein_294	protein_295	protein_296	protein_297	protein_298	protein_299	protein_300	protein_301	protein_302	protein_303	protein_304	protein_305	protein_306	protein_307	protein_308	protein_309	protein_310	protein_311	protein_312	protein_313	protein_314	protein_315	protein_316	protein_317	protein_318	protein_319	protein_320	protein_321	protein_322	protein_323	protein_324	protein_325	protein_326	protein_327	protein_328	protein_329	protein_330	protein_331	protein_332	protein_333	protein_334	protein_335	protein_336	protein_337	protein_338	protein_339	protein_340	protein_341	protein_342	protein_343	protein_344	protein_345	protein_346	protein_347	protein_348	protein_349	protein_350	protein_351	protein_352	protein_353	protein_354	protein_355	protein_356	protein_357	protein_358	protein_359	protein_360	protein_361	protein_362	protein_363	protein_364	protein_365	protein_366	protein_367	protein_368	protein_369	protein_370	protein_371	protein_372	protein_373
186	15	13	18	0	16	0	31	24	0	15	24	0	12	22	0	17	15	8	14	0	10	0	16	0	0	6	0	15	0	12	11	21	19	22	25	25	9	7	16	19	12	25	0	23	0	0	19	25	30	11	25	18	16	0	4	18	23	23	13	0	0	0	12	4	0	5	16	2	0	10	8	7	8	23	0	16	20	23	10	1	0	0	12	12	22	20	13	15	17	3	16	3	14	8	0	17	3	18	18	15	0	0	0	4	12	0	10	31	28	0	36	0	12	22	13	17	0	11	11	2	21	3	22	0	0	22	0	16	0	0	0	0	12	17	13	11	21	15	6	20	0	15	8	21	14	7	0	8	14	12	18	0	11	22	5	0	0	10	0	9	0	28	0	22	22	1	19	16	25	0	15	0	0	0	23	0	13	19	14	13	8	21	9	8	0	11	0	0	13	0	26	27	22	20	16	8	10	6	0	3	14	0	0	28	10	23	23	18	20	14	4	15	15	13	0	16	20	15	35	12	11	0	6	0	0	14	11	0	0	13	0	0	21	16	14	8	0	23	0	24	21	25	0	0	10	11	12	0	3	0	8	8	16	0	21	8	3	0	0	20	4	0	12	0	15	23	0	5	24	18	0	0	14	0	20	0	2	0	14	3	0	0	18	20	0	5	11	4	0	25	19	1	18	8	21	7	12	15	10	9	23	6	12	0	17	19	9	0	16	0	0	19	6	26	0	13	19	16	0	11	21	0	12	0	26	0	20	0	0	0	18	14	2	24	17	17	0	15	18	20	23	6	15	20	0	20	6	11	0	7	18	0	19	21	23	0	16	0	7	0	18	16	16	6	14	9	0	23	24	0	15	0	19
187	0	12	19	14	10	5	16	0	15	15	19	13	7	22	19	21	0	24	16	0	6	18	13	17	20	11	18	9	17	0	23	0	29	0	0	17	24	10	3	13	24	22	3	0	10	29	12	18	0	25	0	0	13	13	0	3	15	26	19	5	0	0	0	16	13	15	0	0	10	0	0	14	18	7	29	0	0	9	17	18	0	12	0	0	0	0	3	10	6	19	21	10	9	0	7	23	7	14	0	22	5	14	0	23	17	15	19	21	15	21	11	5	24	22	0	20	0	11	8	22	22	7	18	16	0	11	12	13	23	13	10	21	8	9	0	23	17	18	14	15	10	1	20	0	19	14	7	20	14	24	0	0	15	18	16	7	0	22	0	0	13	10	1	23	29	14	0	3	24	10	22	31	21	25	14	8	9	0	8	23	18	22	14	17	0	14	18	23	18	27	17	0	25	0	12	22	13	0	17	3	22	0	18	0	0	20	18	19	17	0	17	3	25	8	29	1	0	18	5	19	18	19	5	2	0	0	17	25	18	12	0	35	20	16	0	14	11	17	1	17	26	0	10	10	29	23	23	0	15	23	19	18	6	15	12	7	7	16	25	0	10	10	23	15	8	16	18	18	0	0	0	34	22	17	35	5	0	23	6	0	0	12	17	0	0	0	26	16	13	0	20	17	10	27	0	0	16	13	0	20	0	0	0	0	0	0	25	0	5	9	16	14	16	8	2	17	11	21	22	23	10	10	6	11	32	23	0	0	0	13	16	17	15	0	0	14	5	15	21	17	11	16	6	16	11	5	0	15	16	3	17	22	17	9	20	0	14	10	15	17	2	4	9	14	0	22	11	1	0	0	0	22	0
188	5	0	17	0	3	19	19	27	14	17	11	0	21	13	15	31	12	0	7	20	6	16	4	23	0	11	21	5	0	23	0	17	8	0	18	19	20	0	16	9	20	0	5	9	0	18	0	0	17	24	6	0	0	18	17	12	27	21	22	9	12	5	0	23	11	10	21	16	0	6	0	5	8	0	5	17	24	3	15	27	0	7	16	5	0	0	29	19	0	23	5	5	0	28	15	28	11	0	0	20	0	18	0	14	14	0	0	20	0	0	24	13	0	0	31	25	3	0	18	11	14	16	25	6	12	15	0	18	0	30	10	0	21	23	15	0	22	4	15	0	11	20	0	16	18	15	24	0	15	0	28	10	20	0	22	16	2	0	0	16	14	0	11	14	2	5	7	12	0	12	8	26	32	10	19	3	4	20	14	21	0	0	0	6	9	8	18	10	4	15	0	11	19	0	18	22	15	31	31	0	0	0	13	20	23	15	0	11	21	10	1	19	16	27	18	25	13	8	23	0	4	0	0	0	0	0	18	6	11	18	12	10	10	21	0	0	7	20	4	0	17	0	0	0	15	14	16	20	12	19	13	0	20	0	28	15	25	31	29	1	14	0	24	8	0	8	31	3	6	0	16	0	11	14	7	13	20	15	15	14	26	11	20	15	5	14	14	18	13	22	22	0	16	25	3	4	0	9	0	14	0	17	20	20	8	23	0	28	19	21	8	0	21	0	0	8	17	20	5	7	0	16	23	15	16	11	13	28	28	10	10	7	0	0	33	30	16	13	12	8	16	8	17	0	23	15	12	1	11	6	0	7	0	0	0	16	32	21	14	18	0	0	14	0	2	0	9	0	0	23	10	19	17
189	18	7	0	12	15	16	0	0	14	0	0	20	0	12	17	23	0	0	29	4	28	13	14	0	30	0	10	0	0	19	24	18	0	17	5	19	15	20	0	0	2	13	28	16	25	6	17	0	14	12	12	0	0	22	11	0	0	14	16	0	27	8	16	1	0	0	0	19	25	18	15	0	18	11	20	0	17	19	11	15	0	11	18	7	23	0	13	0	10	23	5	13	21	0	0	0	14	0	14	10	14	9	0	17	6	0	20	8	16	0	21	0	18	12	0	12	17	5	20	14	0	11	5	18	18	5	8	10	2	7	0	19	12	3	5	14	20	13	18	0	16	0	18	0	23	5	20	13	15	0	6	5	0	18	9	21	0	12	13	0	0	0	0	10	12	0	15	0	0	31	0	19	17	15	18	15	9	16	11	0	6	9	11	15	0	22	18	13	3	0	0	19	12	0	5	9	0	19	0	24	4	18	19	21	11	18	5	15	21	0	20	7	23	19	11	17	21	20	7	0	14	20	0	0	1	0	17	18	0	0	0	14	20	19	28	4	20	11	23	24	0	9	12	10	13	0	0	0	0	23	15	16	23	6	0	17	0	14	0	16	6	17	8	26	3	9	19	11	0	0	10	14	10	14	11	13	0	0	0	0	5	7	0	18	10	0	23	12	9	10	9	0	14	0	22	8	0	0	15	14	3	18	15	11	0	0	11	0	10	1	34	0	9	21	15	23	0	23	12	2	23	21	12	0	20	0	13	6	17	12	0	24	0	0	26	1	0	0	16	25	21	21	17	15	2	29	11	15	18	19	15	24	17	0	0	4	15	19	18	0	17	0	19	10	18	28	24	15	0	5	6	12	23
190	12	13	0	3	0	8	18	0	0	17	15	19	17	0	17	0	16	20	8	12	13	2	12	9	21	21	0	0	30	0	0	8	27	14	10	0	3	14	18	2	0	15	2	16	9	0	18	0	29	8	12	0	0	19	6	12	20	23	19	26	18	24	14	8	16	20	0	17	26	8	24	23	0	0	0	13	0	10	13	20	21	10	14	0	0	22	13	9	22	8	14	0	11	19	0	13	12	13	15	6	9	3	0	0	7	10	12	13	23	15	0	0	17	14	14	6	17	15	19	10	0	14	18	0	19	11	6	15	0	0	21	21	17	0	18	14	0	0	0	27	21	16	0	13	0	0	6	0	24	5	19	19	10	0	9	27	0	0	13	12	3	0	7	20	21	18	28	10	20	18	14	0	9	18	26	12	0	12	8	20	23	15	11	20	15	19	16	0	10	8	24	14	0	14	0	0	19	19	0	16	16	18	15	22	8	16	19	19	24	20	11	12	9	20	0	8	19	5	28	15	0	17	0	10	0	0	3	2	16	20	16	14	15	0	23	0	15	10	0	18	7	17	0	0	0	9	0	0	18	0	2	18	14	18	33	4	0	11	0	20	32	11	0	18	18	20	13	0	4	13	0	14	0	13	23	11	15	11	11	11	27	0	14	0	0	17	16	0	0	10	25	28	9	0	21	17	26	10	13	23	5	12	0	0	10	6	16	20	0	10	0	0	22	0	18	0	9	30	0	10	30	3	0	0	0	15	1	15	0	20	9	0	24	0	0	10	7	0	20	0	24	20	14	25	4	1	17	16	0	0	36	15	11	23	8	5	26	1	14	16	0	7	30	0	12	9	14	10	0	0	19	13	0
191	4	13	19	12	23	4	0	0	19	17	0	0	0	18	14	0	11	7	0	9	18	0	29	0	12	19	15	13	17	0	11	13	11	8	15	32	4	0	9	16	2	7	0	3	0	13	0	33	11	20	0	14	13	13	19	30	14	0	9	10	10	25	10	0	11	19	2	0	19	0	5	12	17	10	11	15	20	16	12	23	16	10	21	14	17	15	7	9	11	0	26	34	27	11	10	19	29	18	19	16	5	18	12	11	7	17	0	17	20	17	13	20	2	27	14	0	25	0	10	3	23	3	13	19	21	16	26	0	18	7	0	18	25	16	15	0	2	19	0	11	1	13	0	21	15	19	20	7	0	28	20	14	0	13	19	22	19	16	0	7	7	0	17	8	1	0	2	10	8	7	0	18	16	9	18	19	10	11	0	0	16	6	17	24	0	16	17	0	21	19	8	0	15	1	22	18	9	10	20	12	23	16	18	13	10	5	19	19	23	24	7	15	8	0	0	0	0	30	7	12	15	12	0	14	24	25	10	0	10	14	19	13	17	28	18	24	14	17	10	17	14	0	6	13	18	23	9	11	0	7	18	0	14	19	0	12	8	16	12	12	11	0	20	0	0	17	15	18	0	10	0	20	5	0	18	0	0	19	11	16	18	16	4	9	19	15	15	0	21	13	13	0	20	25	0	11	21	0	25	0	26	12	18	0	20	14	9	0	4	5	0	1	21	12	17	3	14	0	0	7	0	0	24	0	17	17	7	19	0	0	19	7	22	8	4	21	14	16	5	15	20	0	20	0	0	22	4	15	11	25	19	14	17	14	20	23	0	15	2	13	11	0	14	0	19	0	17	18	0	23	8	0	10
192	0	15	9	30	0	16	31	0	10	0	13	0	15	6	0	25	0	12	18	8	15	23	16	0	17	28	13	19	21	22	0	0	0	8	2	0	22	5	10	14	10	4	22	17	13	0	0	16	0	6	13	0	0	0	2	27	0	8	0	25	12	20	13	20	12	30	14	10	21	18	24	19	9	0	9	25	1	0	0	9	0	16	20	18	0	24	4	7	0	18	0	18	11	0	5	11	25	9	11	0	0	13	7	0	6	9	18	8	9	7	17	0	10	1	17	29	16	0	0	0	11	13	8	14	15	0	12	0	9	14	22	0	10	22	28	14	21	0	11	24	27	3	16	16	1	0	33	8	8	21	9	11	4	27	17	0	19	0	12	5	25	0	14	22	21	15	14	25	10	17	24	36	11	24	14	0	10	17	17	9	9	12	0	12	0	0	10	23	19	15	0	21	21	19	0	25	11	0	14	0	11	0	11	0	10	0	8	25	0	3	21	6	0	13	10	17	21	12	0	0	20	0	5	11	14	14	21	6	25	0	11	8	18	18	13	13	0	17	11	0	23	0	10	18	15	1	9	22	20	0	10	30	8	0	0	21	16	3	10	0	14	15	24	12	19	0	18	33	22	4	0	9	11	15	0	22	11	0	20	15	26	5	19	16	26	5	22	10	10	0	24	0	15	15	23	11	0	0	22	0	8	11	0	11	13	19	31	0	21	12	0	10	18	15	24	0	0	3	13	14	11	13	0	0	17	11	0	10	4	10	23	21	11	0	0	6	3	8	31	20	13	9	8	14	25	11	11	20	4	0	0	9	0	17	15	15	13	15	10	0	0	20	0	19	0	27	0	0	8	15	0	0	0
193	0	12	28	17	0	0	25	12	6	17	19	13	0	11	0	19	31	8	6	14	0	15	0	23	12	16	12	11	3	16	9	12	10	19	16	12	14	8	7	15	0	11	0	25	10	0	16	7	0	0	0	17	7	25	0	11	17	10	0	0	1	28	0	9	18	0	24	0	0	0	20	0	13	11	12	18	15	16	5	0	19	8	0	28	22	16	17	14	15	19	13	5	12	19	22	15	15	9	11	21	17	6	21	24	16	14	21	9	0	0	23	0	0	0	23	10	22	0	8	0	23	0	18	0	19	0	25	11	13	15	30	20	8	25	33	0	23	18	0	27	16	7	8	18	11	23	17	14	6	19	1	13	0	19	18	0	0	19	1	11	0	4	0	28	14	18	0	0	2	18	13	9	0	0	14	10	0	2	22	0	17	16	18	11	3	0	0	0	20	17	21	0	15	0	25	16	14	38	15	22	14	16	14	15	0	0	21	0	0	11	9	2	16	0	12	7	9	7	14	17	29	4	1	0	0	0	8	16	0	13	28	6	9	11	7	17	1	12	21	19	10	0	20	16	8	20	16	0	10	8	16	16	21	6	2	11	15	5	22	0	0	20	0	19	0	0	0	0	20	11	0	10	0	0	3	18	0	17	19	0	0	5	25	0	0	0	32	16	22	18	9	22	0	14	19	18	4	0	10	0	17	0	21	3	19	0	14	23	0	10	5	0	24	15	0	26	18	30	0	0	13	0	0	10	33	0	22	10	8	0	0	4	0	6	14	0	21	11	27	9	26	12	20	21	0	0	0	17	13	16	0	0	15	0	10	26	14	30	25	18	0	11	7	0	15	0	0	8	21	15	12	0	12
194	0	0	10	2	7	16	14	21	14	22	28	7	0	4	9	7	11	26	23	22	23	18	5	27	20	0	11	21	29	13	25	21	14	0	0	4	16	28	20	28	0	20	18	0	11	1	32	10	7	12	5	30	24	0	14	14	14	0	11	26	16	19	8	16	27	19	0	22	0	4	0	0	0	17	6	0	0	9	18	6	23	19	10	19	6	23	18	0	13	12	15	13	13	19	19	10	4	0	8	15	17	13	14	26	17	6	15	10	7	18	19	13	0	13	0	6	15	14	10	7	7	23	19	14	18	0	0	7	14	14	12	9	29	14	23	16	23	28	0	27	0	16	33	14	9	6	0	7	12	14	13	6	6	0	19	20	26	15	14	18	0	24	0	11	6	10	16	8	15	15	21	10	8	0	20	17	0	0	10	0	0	29	0	0	12	14	14	7	12	19	10	13	8	6	21	24	14	0	20	27	0	18	19	12	12	11	3	11	0	0	16	0	0	19	24	17	18	19	25	16	8	8	13	23	12	23	0	0	0	0	19	0	19	10	12	23	13	8	16	10	7	11	34	3	11	19	20	0	5	12	23	19	0	5	0	17	22	0	10	0	0	0	19	14	27	11	0	0	12	2	27	18	14	19	8	21	21	25	24	24	8	16	9	0	0	25	0	31	22	21	9	0	14	17	22	20	14	21	23	7	23	0	11	9	0	9	14	0	6	0	10	8	9	0	25	24	0	16	13	27	0	23	16	18	11	15	11	22	15	16	19	4	0	6	23	0	13	9	17	15	0	15	18	0	0	0	0	22	17	5	15	23	0	14	0	26	0	15	14	16	0	15	21	4	0	8	0	21	17	1	16	24	19
195	0	0	19	0	0	0	15	0	26	10	21	4	8	29	15	0	13	0	35	0	11	15	15	16	15	19	23	0	18	0	13	12	7	5	0	19	0	15	7	7	25	19	28	0	8	20	16	3	0	0	0	0	0	0	28	16	0	10	15	12	20	20	20	21	25	15	7	23	8	19	16	14	0	0	26	0	0	20	0	25	5	18	27	14	11	19	0	19	0	14	0	16	11	16	13	6	27	8	0	1	0	22	9	15	22	0	14	0	13	5	15	16	15	24	0	0	11	13	0	12	0	21	14	0	19	18	2	19	19	14	7	1	11	5	26	7	20	20	19	11	0	20	0	12	20	12	0	13	2	0	25	0	15	22	0	2	0	18	20	0	13	17	17	0	9	6	23	4	28	15	17	0	16	10	27	5	2	0	22	0	12	0	26	20	0	12	8	30	17	19	19	2	16	16	21	8	24	20	19	20	12	11	0	0	1	11	10	0	25	13	1	25	0	9	14	0	0	0	35	21	0	7	0	9	16	10	8	9	0	17	17	23	11	0	22	2	0	10	17	18	0	10	0	10	0	17	0	33	16	21	0	11	0	18	0	8	13	20	16	12	0	27	0	23	0	15	20	0	0	19	22	14	16	19	0	0	13	0	0	11	3	0	0	9	0	17	4	0	0	20	0	7	5	10	0	15	18	0	2	16	13	21	5	15	19	17	18	5	22	0	14	0	1	19	0	10	14	0	13	18	18	24	6	16	26	0	18	14	14	28	8	19	17	8	3	0	0	21	14	13	25	13	21	0	9	35	15	21	13	15	16	10	13	25	0	8	9	10	15	20	15	23	14	18	18	0	26	10	21	8	15	23	16
196	21	5	0	0	0	0	12	18	6	21	16	18	1	0	14	20	21	0	0	20	23	13	0	16	20	0	16	17	16	0	0	16	7	0	27	10	14	0	0	18	15	14	21	19	0	23	15	22	18	7	18	6	15	7	18	10	9	14	0	9	0	10	0	11	6	0	21	16	9	14	20	12	18	14	0	28	17	4	0	0	17	16	0	0	10	0	0	8	25	8	16	10	19	20	26	8	18	0	18	0	20	1	0	24	0	4	19	17	13	19	19	24	20	21	21	0	11	16	15	0	0	3	25	13	13	20	0	23	11	7	0	22	15	25	5	21	4	0	11	0	4	14	20	21	7	0	0	18	0	14	0	0	22	0	23	16	21	18	0	23	16	25	1	0	10	2	16	9	13	14	10	0	0	29	4	0	0	23	10	27	18	8	19	13	0	0	0	10	17	0	18	21	17	18	5	0	1	17	8	0	9	14	17	24	0	17	20	8	24	28	18	0	22	17	0	17	0	0	24	11	0	26	18	9	0	0	0	26	0	0	0	25	20	0	16	13	15	29	18	12	0	17	0	0	22	3	10	29	11	0	15	0	29	0	12	5	0	0	0	0	0	0	20	24	11	0	12	8	16	0	0	0	0	7	27	25	12	0	18	12	20	0	16	7	17	0	15	21	17	10	15	0	0	10	0	0	10	0	11	0	21	13	25	14	18	13	23	20	11	8	19	16	0	0	0	16	22	10	9	15	16	16	18	9	17	14	20	19	12	0	0	11	18	0	14	0	14	19	24	0	10	13	17	30	4	18	4	11	26	11	15	0	7	13	11	22	7	20	10	0	0	2	17	6	24	14	17	12	10	0	0	24	0
197	18	0	22	5	19	12	0	9	16	18	15	12	24	23	0	7	16	2	25	18	18	0	24	0	0	7	0	25	22	0	18	17	0	13	0	13	2	0	20	29	12	21	27	14	0	9	24	10	0	0	24	16	16	7	12	1	10	20	18	10	0	0	22	30	13	0	10	0	8	6	17	10	0	16	0	44	0	0	0	11	7	23	17	11	14	3	0	0	6	16	17	14	16	18	6	16	0	17	13	20	16	11	20	8	0	8	0	10	0	15	12	22	0	5	0	0	23	6	17	0	0	13	0	21	5	13	30	18	10	23	0	11	28	0	16	10	0	29	10	0	9	6	4	17	15	0	24	11	0	2	0	25	8	10	6	9	25	8	17	18	0	17	6	19	19	12	31	13	0	0	25	2	0	27	0	0	0	0	25	17	0	12	23	19	24	0	14	22	17	12	0	0	16	9	5	7	15	25	24	22	0	0	8	0	19	18	19	15	11	14	3	24	0	25	17	21	24	0	24	5	13	21	0	10	13	7	12	0	11	4	15	0	14	17	4	16	0	22	17	12	21	0	3	0	16	15	0	25	0	23	23	7	13	0	0	5	12	15	28	0	0	0	11	0	11	26	19	0	0	0	0	8	1	11	9	12	9	30	18	12	15	17	25	3	26	14	0	17	1	21	14	0	17	0	23	16	14	32	10	19	13	14	15	13	24	9	11	26	14	5	23	0	0	0	2	0	27	6	0	0	18	7	0	8	21	9	19	19	0	7	19	0	21	0	16	14	19	0	21	24	15	19	17	9	21	14	17	0	0	25	0	4	13	4	16	18	23	19	24	18	14	0	8	12	20	21	12	14	1	0	8	0	10
198	11	0	2	16	13	14	19	15	6	0	16	27	17	0	9	0	12	5	4	12	0	22	23	22	12	9	11	0	17	0	17	0	15	0	7	24	6	21	15	18	25	16	26	20	11	9	0	0	0	16	23	8	16	20	19	18	26	0	9	0	12	15	0	0	0	3	23	15	6	9	13	28	0	11	8	11	15	32	21	13	4	7	0	17	15	0	10	10	4	11	12	17	23	13	20	14	18	12	9	14	15	18	20	11	0	14	23	24	0	0	0	9	18	0	0	6	14	0	24	10	0	22	12	26	13	19	19	15	0	5	0	12	0	19	0	19	32	27	18	12	0	15	15	0	0	9	12	0	0	0	22	12	10	32	13	6	0	14	24	22	0	9	19	12	0	17	15	10	17	14	0	26	18	0	26	0	13	22	30	23	14	17	20	12	0	0	0	4	0	9	0	11	4	11	18	17	10	0	0	0	23	14	14	0	26	16	26	9	8	0	17	9	25	23	18	18	19	0	0	0	23	15	21	0	11	12	1	20	15	0	15	10	0	26	0	0	0	14	0	19	0	0	9	5	17	13	13	12	16	22	0	12	25	17	19	17	13	17	21	0	15	0	16	0	13	8	0	0	0	23	24	0	17	13	4	18	16	19	9	12	27	18	21	8	0	28	19	24	6	0	0	21	0	1	13	10	24	1	3	6	2	9	0	13	0	9	31	21	0	17	0	3	0	20	34	0	12	5	14	0	19	21	0	0	0	14	0	0	1	0	0	21	5	0	16	23	6	0	19	1	20	0	0	15	15	13	18	0	0	6	11	0	11	6	17	24	22	0	19	0	15	19	10	18	0	8	8	29	13	13	25	23	18
199	13	7	17	5	12	14	5	13	0	0	25	0	2	12	13	17	0	3	23	17	0	0	20	0	1	15	24	8	11	14	34	20	11	3	16	20	25	16	3	8	25	7	18	14	0	21	9	21	19	23	26	12	4	11	0	13	1	13	12	21	12	0	19	0	0	0	0	19	11	14	23	11	4	11	0	7	15	8	0	21	24	13	10	17	7	7	4	0	18	0	23	10	25	15	0	16	0	0	11	26	16	26	26	19	0	16	0	13	0	24	16	28	8	2	14	16	19	14	15	6	17	0	13	29	18	21	0	2	17	13	8	0	15	0	13	29	24	27	14	0	0	25	16	21	0	26	19	21	11	1	28	21	10	0	0	0	21	13	7	16	2	0	0	17	20	17	26	12	14	0	4	0	2	12	8	13	0	0	4	20	14	0	19	0	16	0	11	0	5	15	0	20	8	9	20	18	0	15	16	3	11	23	15	12	0	26	14	0	15	12	0	17	28	0	0	8	8	16	0	0	6	14	16	16	0	0	17	0	8	0	28	12	8	15	22	10	0	8	3	22	11	21	0	8	17	13	17	14	14	0	3	0	14	16	0	20	0	10	18	0	15	17	5	23	0	22	0	13	8	7	0	20	19	16	25	12	12	4	15	10	0	15	21	15	0	0	7	0	12	10	0	4	0	0	17	13	16	0	22	12	10	18	6	2	17	21	0	14	11	5	16	13	12	0	0	10	0	0	21	18	17	17	13	16	16	12	7	17	23	0	0	0	25	0	17	12	11	11	24	14	11	26	0	11	11	12	0	2	0	0	15	0	12	14	24	23	0	9	17	14	14	0	24	13	8	18	9	11	18	29	12	16	27
200	10	0	17	23	21	8	21	7	14	0	20	0	11	22	7	27	26	21	19	25	3	12	21	0	0	6	8	16	8	20	0	20	26	12	3	16	11	23	9	17	2	22	0	0	14	22	0	12	14	10	12	14	0	15	15	19	7	22	4	20	10	12	13	8	14	0	0	7	0	17	12	0	0	11	0	22	19	15	13	11	8	24	0	6	19	19	22	23	27	19	13	11	15	12	20	18	0	3	2	17	0	14	18	20	21	0	0	14	14	11	0	9	0	10	6	0	22	10	9	13	14	15	21	19	0	15	13	21	19	30	16	0	0	8	19	11	21	6	13	13	18	0	0	8	21	10	17	10	5	0	20	9	10	14	15	0	9	0	6	12	18	0	0	7	0	13	27	23	11	0	0	0	34	18	17	19	6	13	13	10	14	0	0	17	26	28	0	21	0	27	15	7	17	22	11	1	13	11	19	13	11	17	12	11	0	19	12	16	9	0	14	16	20	26	12	15	0	0	4	24	21	34	21	17	13	4	14	17	0	14	7	26	17	7	24	13	0	20	16	19	9	11	19	7	16	0	7	15	30	29	25	4	0	0	0	23	9	20	1	21	25	15	15	19	18	24	24	20	22	16	17	15	25	13	11	0	0	13	14	9	13	14	8	17	6	8	24	19	18	29	12	0	11	13	0	15	17	6	0	13	20	9	0	19	18	19	0	23	7	0	0	12	0	0	0	26	13	26	12	4	0	21	23	5	16	27	7	15	7	10	10	0	0	0	15	0	5	22	22	13	14	0	24	16	17	15	0	0	0	17	0	9	13	0	0	7	16	0	21	18	14	0	22	0	15	14	9	0	16	0	24	12	15
201	0	17	10	21	0	12	10	11	20	18	10	0	20	0	0	28	8	0	0	11	5	8	6	17	1	22	3	0	17	2	0	19	20	0	23	22	0	17	10	7	24	14	0	22	4	9	0	22	19	1	0	0	6	6	0	6	11	20	13	0	10	15	24	27	0	18	0	12	2	13	15	6	0	22	17	0	28	19	6	9	0	6	22	19	8	22	0	0	28	6	22	20	22	14	21	23	2	0	12	0	10	0	13	0	0	21	5	13	25	7	1	0	9	24	30	0	6	17	0	0	21	6	0	0	20	9	0	24	0	16	28	19	0	23	0	22	16	16	19	0	9	9	18	19	0	6	19	0	0	4	0	14	13	0	0	3	0	14	0	4	3	0	0	19	17	22	13	16	26	4	15	19	0	7	0	24	17	16	13	0	0	3	14	8	23	18	10	0	7	14	23	0	17	25	10	15	18	1	0	0	0	0	0	9	15	13	8	26	0	10	0	8	29	11	14	0	17	14	22	21	11	0	15	14	0	14	0	0	23	0	20	0	0	14	17	0	0	3	24	23	15	4	3	14	16	13	16	0	0	14	12	0	13	0	10	30	9	0	0	20	14	0	0	7	19	19	8	12	20	21	16	9	15	0	13	0	7	6	11	9	10	0	10	18	8	12	0	4	0	0	4	0	14	0	0	0	0	12	7	5	0	17	0	17	15	16	24	27	7	21	17	0	22	27	10	10	0	25	9	12	15	29	17	11	9	0	0	21	0	28	20	12	0	0	15	20	17	20	4	23	12	16	0	19	0	6	0	16	0	0	0	23	13	28	0	19	8	0	13	0	12	10	0	6	2	4	27	0	17	11	0	0	0
