ID	targeted_metabolomics_1	targeted_metabolomics_2	targeted_metabolomics_3	targeted_metabolomics_4	targeted_metabolomics_5	targeted_metabolomics_6	targeted_metabolomics_7	targeted_metabolomics_8	targeted_metabolomics_9	targeted_metabolomics_10	targeted_metabolomics_11	targeted_metabolomics_12	targeted_metabolomics_13	targeted_metabolomics_14	targeted_metabolomics_15	targeted_metabolomics_16	targeted_metabolomics_17	targeted_metabolomics_18	targeted_metabolomics_19	targeted_metabolomics_20	targeted_metabolomics_21	targeted_metabolomics_22	targeted_metabolomics_23	targeted_metabolomics_24	targeted_metabolomics_25	targeted_metabolomics_26	targeted_metabolomics_27	targeted_metabolomics_28	targeted_metabolomics_29	targeted_metabolomics_30	targeted_metabolomics_31	targeted_metabolomics_32	targeted_metabolomics_33	targeted_metabolomics_34	targeted_metabolomics_35	targeted_metabolomics_36	targeted_metabolomics_37	targeted_metabolomics_38	targeted_metabolomics_39	targeted_metabolomics_40	targeted_metabolomics_41	targeted_metabolomics_42	targeted_metabolomics_43	targeted_metabolomics_44	targeted_metabolomics_45	targeted_metabolomics_46	targeted_metabolomics_47	targeted_metabolomics_48	targeted_metabolomics_49	targeted_metabolomics_50	targeted_metabolomics_51	targeted_metabolomics_52	targeted_metabolomics_53	targeted_metabolomics_54	targeted_metabolomics_55	targeted_metabolomics_56	targeted_metabolomics_57	targeted_metabolomics_58	targeted_metabolomics_59	targeted_metabolomics_60	targeted_metabolomics_61	targeted_metabolomics_62	targeted_metabolomics_63	targeted_metabolomics_64	targeted_metabolomics_65	targeted_metabolomics_66	targeted_metabolomics_67	targeted_metabolomics_68	targeted_metabolomics_69	targeted_metabolomics_70	targeted_metabolomics_71	targeted_metabolomics_72	targeted_metabolomics_73	targeted_metabolomics_74	targeted_metabolomics_75	targeted_metabolomics_76	targeted_metabolomics_77	targeted_metabolomics_78	targeted_metabolomics_79	targeted_metabolomics_80	targeted_metabolomics_81	targeted_metabolomics_82	targeted_metabolomics_83	targeted_metabolomics_84	targeted_metabolomics_85	targeted_metabolomics_86	targeted_metabolomics_87	targeted_metabolomics_88	targeted_metabolomics_89	targeted_metabolomics_90	targeted_metabolomics_91	targeted_metabolomics_92	targeted_metabolomics_93	targeted_metabolomics_94	targeted_metabolomics_95	targeted_metabolomics_96	targeted_metabolomics_97	targeted_metabolomics_98	targeted_metabolomics_99	targeted_metabolomics_100	targeted_metabolomics_101	targeted_metabolomics_102	targeted_metabolomics_103	targeted_metabolomics_104	targeted_metabolomics_105	targeted_metabolomics_106	targeted_metabolomics_107	targeted_metabolomics_108	targeted_metabolomics_109	targeted_metabolomics_110	targeted_metabolomics_111	targeted_metabolomics_112	targeted_metabolomics_113	targeted_metabolomics_114	targeted_metabolomics_115	targeted_metabolomics_116	targeted_metabolomics_117	targeted_metabolomics_118	targeted_metabolomics_119
10	14	5	15	0	7	19	4	4	7	4	5	14	0	5	9	9	8	14	9	0	7	8	12	8	0	11	15	4	6	17	15	11	0	19	16	17	8	6	0	2	12	7	12	0	19	0	11	13	13	0	25	11	7	12	0	5	4	0	10	7	14	11	9	0	8	11	5	16	10	12	7	12	23	5	7	4	12	0	5	7	12	10	13	0	0	10	13	14	9	0	11	0	14	8	11	9	14	14	2	6	14	0	0	7	0	7	0	7	16	7	4	0	6	9	0	14	8	3	0
11	0	0	10	10	14	12	9	16	11	0	0	10	8	11	4	17	10	0	17	13	12	6	10	14	13	5	14	0	12	10	6	7	11	0	0	10	7	13	17	11	9	16	5	6	10	12	17	14	0	2	0	8	7	9	4	3	15	12	15	11	0	15	20	0	0	9	0	10	9	12	11	3	9	18	12	11	0	19	3	13	0	0	16	13	5	11	14	11	6	2	9	7	0	6	1	0	0	11	14	18	2	0	6	0	8	0	4	3	11	6	17	11	0	4	9	9	0	0	0
12	0	14	0	10	7	12	14	1	3	13	4	0	22	0	10	0	0	0	12	15	17	0	12	10	0	1	11	0	14	0	3	0	13	0	0	14	13	13	0	8	19	3	6	14	16	0	14	10	4	7	13	13	13	8	13	13	4	9	17	5	7	0	0	0	12	17	12	1	17	19	12	14	11	5	9	11	10	0	12	10	7	0	0	8	7	0	9	6	15	10	0	9	1	2	13	13	14	4	0	13	7	0	7	2	18	0	0	5	0	14	0	0	0	0	19	10	0	11	19
13	21	0	0	14	2	9	9	0	0	7	8	0	8	10	14	17	15	0	12	12	9	17	14	7	0	9	10	9	6	5	16	6	2	4	10	12	13	13	2	14	12	10	0	12	20	14	5	8	10	13	11	6	4	11	4	7	11	10	0	16	4	9	13	13	8	2	7	4	7	10	2	12	0	9	20	18	13	13	6	4	0	0	4	5	9	8	11	12	10	14	6	7	14	22	9	0	10	0	3	2	3	14	12	13	11	9	0	14	7	5	1	0	10	14	12	20	0	0	0
14	15	12	6	12	3	17	4	0	7	14	17	7	12	0	6	8	0	16	3	7	0	4	13	18	8	6	7	0	15	5	19	5	1	11	0	17	1	14	11	20	0	15	0	0	9	15	0	12	17	5	6	7	0	9	9	8	0	11	18	15	18	9	14	16	17	15	18	16	12	13	5	1	17	14	4	11	13	8	13	7	3	14	4	16	17	13	16	5	15	0	14	16	2	11	12	14	4	3	6	3	10	17	13	9	11	0	4	3	0	14	15	11	7	0	8	3	0	18	11
15	7	12	6	13	8	14	16	6	0	14	9	9	18	0	5	8	16	7	10	16	0	0	8	17	20	0	5	8	0	0	10	19	7	0	0	0	5	10	12	14	9	0	4	6	12	4	0	14	10	3	9	9	8	3	2	0	0	9	18	8	8	2	0	0	11	4	13	11	12	3	11	7	14	5	20	10	16	13	9	0	4	17	0	7	5	8	11	15	7	1	7	15	2	6	5	9	15	8	14	4	8	11	6	0	3	7	8	11	3	6	7	11	13	0	0	17	0	2	0
16	19	15	18	13	0	5	14	3	4	11	18	12	17	13	8	13	17	11	9	9	8	10	11	0	2	10	15	15	18	9	0	17	16	9	9	10	0	11	7	0	5	7	0	0	0	4	0	2	5	15	0	2	16	5	13	3	9	7	0	1	6	0	5	0	5	7	16	14	9	0	8	3	29	11	15	1	0	15	18	2	19	6	12	19	3	17	16	0	6	1	13	4	0	12	13	11	9	8	19	0	14	13	15	9	0	14	8	3	9	11	13	0	16	10	14	15	0	7	4
17	7	8	10	0	15	11	0	14	0	4	0	0	11	5	0	14	12	0	0	9	3	4	10	8	0	11	11	16	8	17	9	15	5	0	6	0	11	8	10	6	15	8	0	0	10	4	4	12	17	14	0	2	13	8	0	10	9	12	27	0	15	13	14	21	8	16	11	13	7	11	14	17	6	9	13	16	17	0	0	18	11	4	13	24	7	18	7	6	15	11	11	9	11	14	0	14	6	0	13	8	7	0	7	16	15	8	5	8	10	16	0	0	8	8	8	12	9	0	0
18	0	6	16	11	9	15	0	2	0	15	1	0	9	14	21	17	10	0	1	0	7	9	15	0	5	2	14	4	2	3	0	0	10	0	0	18	12	3	8	9	9	3	14	0	10	18	0	13	8	7	8	0	8	6	5	9	0	9	9	11	4	3	4	11	11	12	9	8	12	0	6	0	11	6	6	0	12	14	8	22	6	5	5	0	17	15	6	10	16	9	0	4	0	13	3	7	9	0	10	11	3	22	4	0	14	17	7	5	16	0	11	16	26	6	12	0	14	6	6
19	17	3	19	8	13	15	9	0	9	0	16	13	0	12	0	0	11	5	2	0	8	4	9	0	11	2	0	3	6	17	13	13	15	14	11	7	9	12	13	0	0	8	0	10	14	0	19	5	2	14	0	11	13	13	0	0	11	7	7	8	13	11	16	8	6	11	8	18	9	10	4	0	0	12	0	14	5	11	1	5	15	0	0	7	0	12	1	4	17	1	11	3	12	2	9	3	9	7	6	0	8	6	1	14	21	14	14	13	11	10	4	3	7	7	14	0	14	10	8
20	6	5	4	5	0	0	14	10	11	2	12	15	13	0	13	8	11	12	9	9	2	0	3	13	2	16	11	5	13	14	7	16	8	15	23	11	11	0	5	12	10	18	8	16	12	0	3	6	8	1	0	0	9	7	10	11	0	0	16	8	0	12	4	7	8	11	10	0	14	5	0	16	17	1	14	8	0	18	8	5	11	7	10	0	8	10	17	12	2	14	13	0	0	21	2	0	9	18	8	15	4	12	7	1	8	17	13	0	0	13	10	13	2	11	12	15	12	14	14
21	5	3	17	0	7	2	16	0	7	7	0	8	7	11	0	2	0	0	12	7	0	0	14	17	2	3	5	12	18	3	14	19	11	7	4	4	0	8	11	8	17	21	8	17	12	6	8	12	0	10	9	8	7	10	9	10	14	15	15	17	8	0	10	3	0	0	11	0	13	10	0	10	0	6	11	11	9	14	0	9	9	13	9	3	0	5	5	7	11	0	8	12	8	14	4	6	0	0	5	6	18	0	8	0	12	13	10	0	3	12	14	0	3	7	11	0	6	7	15
22	12	7	11	3	12	5	11	0	0	22	6	9	13	8	4	12	17	5	14	0	7	9	11	17	11	7	0	0	0	8	11	10	8	0	18	11	12	14	15	12	16	6	11	10	0	8	12	4	5	10	0	9	7	9	3	8	0	22	0	0	9	0	12	10	14	10	5	0	0	8	0	10	0	5	11	11	11	5	13	11	3	14	7	12	7	15	9	0	9	2	5	3	0	14	7	15	15	10	12	6	11	9	18	14	7	14	0	10	3	0	0	0	0	6	0	5	12	8	0
23	14	0	16	17	8	7	15	9	4	7	4	10	1	2	12	8	0	10	0	11	11	9	0	9	12	17	0	0	17	14	6	14	4	10	0	10	10	13	15	14	8	4	0	14	9	1	13	10	9	5	6	5	12	12	13	16	0	16	10	3	15	9	2	10	0	13	15	13	5	17	18	19	15	5	8	3	13	24	16	12	7	0	8	6	2	9	5	21	1	0	3	14	0	4	0	11	22	0	14	7	9	8	4	10	0	0	0	0	5	9	8	19	1	9	11	0	13	0	14
24	0	3	0	10	16	16	12	12	12	7	19	10	0	0	5	0	4	16	6	14	15	24	18	0	11	13	8	19	9	0	6	0	10	9	6	4	11	4	9	7	6	2	9	12	8	12	13	2	11	4	9	4	19	6	6	0	13	4	8	0	6	15	12	13	8	9	11	17	4	4	8	15	2	12	2	10	0	14	7	13	18	13	11	10	10	4	7	23	1	7	20	4	12	10	0	8	10	12	13	1	0	11	0	13	18	15	1	0	2	11	3	11	0	0	17	0	13	13	17
25	13	4	17	8	9	5	0	7	6	2	9	0	0	0	5	18	10	17	5	16	0	0	14	0	9	2	9	12	19	0	15	17	8	13	6	11	18	6	9	3	7	10	12	8	0	0	11	13	14	0	0	2	6	11	0	8	16	1	15	16	6	11	16	14	3	14	17	7	4	8	4	0	0	0	0	10	12	12	13	11	11	10	11	7	4	15	6	9	17	0	0	25	7	8	14	12	12	8	1	12	8	0	11	16	11	13	0	12	0	6	0	16	6	1	9	0	24	0	2
26	10	9	17	0	13	13	11	0	3	8	7	3	0	10	5	14	8	8	13	1	6	15	3	12	7	0	4	8	18	7	15	6	0	12	0	10	0	0	18	9	10	21	2	10	4	8	10	0	11	9	13	13	10	8	3	9	2	12	6	15	9	0	4	8	7	7	0	10	7	9	4	11	12	11	11	15	11	0	5	16	0	6	4	8	0	12	6	7	13	0	21	0	9	0	9	12	13	3	14	0	8	0	27	10	15	8	6	9	4	6	0	0	4	5	12	0	8	16	12
27	12	13	10	14	12	0	12	14	8	15	9	0	21	5	10	0	7	0	0	6	7	12	12	11	5	0	0	0	8	19	9	8	0	6	0	0	0	6	10	0	0	5	0	13	19	11	0	18	0	0	7	14	7	6	7	13	2	6	13	7	0	0	12	15	9	0	19	7	25	8	4	12	0	4	0	0	5	9	21	16	18	12	0	5	5	0	13	15	0	13	8	21	14	7	11	5	5	17	4	8	0	13	14	2	10	16	16	18	9	11	0	9	0	9	11	23	8	9	0
28	11	7	0	2	8	12	6	1	16	8	12	10	1	11	15	20	11	16	6	2	8	0	12	17	0	0	0	2	10	0	10	13	12	9	13	6	21	2	0	19	11	8	12	7	0	9	0	0	0	12	0	13	13	11	12	12	17	0	2	7	0	0	9	6	0	0	0	11	11	0	0	17	16	8	12	7	3	10	5	20	14	17	9	4	0	15	10	13	16	12	4	2	11	6	9	11	8	5	13	9	4	2	3	6	10	2	8	4	1	4	4	13	12	11	11	0	0	11	1
29	1	3	15	0	12	0	17	5	3	4	9	8	8	15	15	9	14	0	10	10	3	3	12	0	10	16	0	10	0	9	15	14	0	13	0	9	12	5	0	18	8	5	0	0	7	0	0	10	10	1	15	6	16	5	0	16	0	0	0	10	13	14	11	5	9	18	12	0	8	3	4	0	3	0	9	16	11	12	11	11	11	4	0	17	7	6	13	1	0	7	17	0	8	10	0	6	3	15	10	0	0	0	10	12	7	5	11	9	6	0	14	11	10	10	9	11	0	0	2
30	10	10	10	0	0	6	15	0	17	7	12	1	9	13	20	0	7	11	3	2	12	3	14	6	9	0	12	9	13	5	12	0	13	9	20	0	14	6	11	15	19	5	0	0	12	0	0	19	11	5	0	0	20	19	5	7	9	4	10	12	22	14	11	5	10	4	9	9	3	7	4	4	8	16	9	3	11	20	6	9	15	8	16	9	9	8	0	11	17	6	8	0	5	0	13	4	6	18	0	12	6	6	18	14	19	0	12	4	13	9	3	4	1	3	8	0	0	6	10
31	14	0	4	16	0	15	15	19	10	18	0	13	0	5	12	12	0	3	14	16	5	11	19	12	6	0	6	16	10	0	1	9	4	18	14	12	12	1	4	7	15	0	6	13	12	7	7	8	8	0	12	17	17	11	0	8	14	13	1	6	14	15	11	0	0	0	0	3	19	15	0	16	11	13	14	0	9	19	19	5	3	8	12	16	13	10	11	21	9	9	1	0	8	0	10	15	1	6	0	10	0	11	0	17	3	1	17	0	0	19	2	0	11	0	15	20	15	0	7
32	10	6	17	9	6	6	19	12	15	17	9	10	6	16	0	2	0	18	0	0	14	15	13	21	0	0	14	12	5	15	11	14	8	13	11	0	0	10	0	12	17	10	4	0	9	17	11	0	5	4	13	0	6	17	10	1	0	10	0	9	7	19	4	5	0	3	2	0	9	5	14	0	14	13	8	1	2	4	17	16	12	5	18	0	0	8	17	6	5	8	2	13	6	11	0	14	0	0	13	22	8	0	16	7	0	10	9	14	6	11	12	5	0	10	4	8	16	3	5
33	14	11	2	5	5	0	10	14	5	11	15	14	8	20	0	11	9	11	14	11	9	1	0	9	0	14	5	14	2	16	19	4	16	0	15	9	7	0	17	12	14	0	0	20	0	14	18	10	10	12	10	13	12	7	14	20	9	13	17	21	12	0	15	6	14	9	13	0	0	8	11	12	13	8	10	2	12	5	10	8	16	13	13	8	16	0	20	8	3	0	13	7	6	13	11	1	5	11	15	11	11	12	5	9	0	17	18	8	18	8	4	14	2	13	14	3	10	0	0
34	12	17	13	0	0	4	0	7	17	6	2	1	0	10	0	11	0	0	18	0	0	0	6	1	4	5	0	0	12	9	13	10	7	5	4	18	12	13	8	2	6	0	15	18	10	8	5	0	5	6	6	13	4	13	0	13	0	15	15	6	13	11	0	7	6	0	6	0	7	0	5	15	9	14	2	11	13	2	0	0	6	2	16	16	13	7	15	6	15	13	10	1	9	14	5	0	10	11	14	12	17	7	12	10	25	13	5	0	16	0	3	8	0	11	11	0	13	4	6
35	0	0	20	0	0	0	0	18	18	0	3	0	3	6	11	8	9	14	11	11	15	18	11	17	13	26	0	8	15	0	0	18	0	13	8	18	0	9	0	0	9	8	6	6	9	0	0	22	10	6	14	0	0	12	12	10	13	0	22	11	0	18	18	11	5	10	10	14	0	14	13	14	9	0	0	0	0	8	11	4	16	19	0	0	13	13	5	16	0	7	14	0	19	11	3	21	8	4	6	9	10	10	12	12	0	25	0	12	15	0	0	14	12	0	7	6	9	7	12
36	6	19	6	4	20	7	14	0	2	7	17	0	8	3	10	0	9	0	0	0	8	12	11	16	0	0	16	5	0	17	0	11	18	13	19	14	9	9	7	20	0	6	13	15	7	16	3	6	0	0	12	9	3	4	8	11	0	8	7	10	0	18	8	0	9	7	0	0	17	14	11	0	15	9	14	0	13	0	0	0	10	7	7	9	9	17	7	15	21	0	0	12	2	24	11	7	8	6	7	3	0	14	10	8	21	6	16	9	9	0	0	10	7	13	0	2	16	9	16
37	11	8	11	20	10	10	7	13	0	6	0	18	0	10	11	11	0	4	10	12	4	12	7	10	19	9	17	0	13	10	18	10	10	5	9	13	0	10	16	16	0	5	12	3	10	0	4	20	13	0	12	2	17	12	4	16	8	20	16	10	0	0	13	6	18	0	8	0	8	6	2	0	15	8	0	0	5	0	10	14	0	7	10	11	9	0	9	5	11	0	8	19	0	9	0	0	7	14	0	9	9	0	2	14	11	15	13	6	5	11	9	14	15	4	4	7	1	10	13
38	7	0	12	15	10	12	4	9	6	19	12	0	22	11	13	20	11	5	0	0	19	10	16	9	8	19	12	18	9	13	10	5	9	19	3	11	10	10	11	7	10	5	9	0	3	15	20	15	7	11	10	9	12	8	0	4	8	2	0	8	22	11	11	13	0	0	0	11	6	8	0	10	0	11	0	4	2	12	6	16	17	8	3	8	12	8	4	23	5	14	0	0	15	0	11	16	18	0	17	13	0	0	5	6	5	19	0	13	9	10	11	10	10	11	0	6	0	12	8
39	9	12	1	0	0	3	10	13	9	2	13	11	0	9	7	7	6	10	0	8	11	8	9	3	0	14	13	10	5	8	0	0	0	9	6	13	5	11	8	14	5	4	11	9	7	7	13	12	12	12	8	9	17	0	15	9	0	0	13	26	14	16	16	13	15	5	11	17	11	15	4	0	0	10	10	15	2	16	13	15	0	11	12	1	16	0	9	14	12	0	7	0	11	8	16	17	0	15	12	11	11	9	13	20	12	1	10	15	16	11	0	10	12	11	11	12	0	10	2
40	14	15	0	14	20	16	11	0	0	14	1	11	12	8	11	15	19	18	7	10	1	10	11	6	2	0	5	16	11	9	13	0	6	0	0	10	0	10	0	8	8	0	6	4	0	7	5	5	0	0	0	23	0	7	14	0	17	7	8	0	2	18	14	7	8	5	2	0	0	1	17	13	2	12	4	0	2	0	0	25	0	9	7	16	17	8	6	10	27	2	7	9	5	13	9	11	23	11	10	8	5	0	7	14	9	9	16	13	14	7	0	3	0	8	6	0	6	9	14
41	10	8	12	0	10	14	23	0	10	0	19	0	11	0	20	13	0	10	13	13	10	13	14	3	0	13	0	14	11	7	3	7	15	8	8	10	0	7	4	9	15	7	0	16	17	0	0	16	9	6	11	5	14	3	10	6	6	24	4	0	7	11	0	0	11	10	5	12	16	13	15	9	0	17	7	0	8	15	8	15	8	14	8	8	9	10	6	0	15	0	22	8	11	3	8	20	10	0	10	18	15	9	7	11	0	0	0	11	15	1	16	8	7	17	1	10	19	21	16
42	0	0	0	5	3	0	0	4	19	13	0	0	1	4	10	0	0	11	10	1	15	5	7	11	6	18	15	6	24	0	20	2	10	0	14	0	18	12	14	7	14	15	14	10	0	0	0	18	4	3	4	10	10	13	12	17	0	2	4	9	4	9	9	9	12	15	0	12	3	9	7	14	16	0	10	0	6	0	8	0	0	10	6	0	0	0	14	17	0	11	9	7	8	0	4	11	17	2	1	12	5	9	6	2	8	14	9	0	9	13	14	8	5	7	0	9	0	12	6
43	0	10	0	8	16	12	9	5	7	0	9	0	1	0	9	14	10	0	4	14	11	0	14	0	7	7	11	0	0	8	6	2	0	9	1	13	14	10	25	11	15	6	15	4	14	22	9	13	10	0	0	5	3	12	7	9	3	10	19	12	4	7	14	14	14	0	9	11	0	0	17	13	0	16	0	15	1	16	16	7	9	0	9	6	18	0	12	9	0	6	8	19	12	13	17	11	0	0	16	4	8	6	10	2	12	18	5	11	1	8	14	10	0	4	11	14	0	9	4
44	9	0	14	0	17	7	10	3	0	16	0	0	13	7	10	10	4	0	0	12	0	13	0	7	16	13	7	4	6	4	0	6	17	0	0	11	11	9	0	12	2	2	12	7	10	9	12	17	13	0	2	2	13	9	0	3	8	10	20	0	0	10	7	0	12	14	0	2	15	20	8	8	22	0	13	10	9	14	13	18	0	15	21	4	9	5	15	12	11	1	14	14	0	9	17	0	13	14	10	4	9	14	9	13	9	8	12	0	14	12	3	10	2	12	0	8	10	0	10
45	6	12	4	11	6	0	5	0	7	11	7	6	8	0	12	14	2	19	11	0	0	11	14	12	17	15	18	5	0	11	2	16	7	10	11	0	0	15	7	0	4	8	9	14	11	9	16	0	0	3	18	2	0	2	16	0	7	16	14	7	6	16	14	17	9	13	1	1	9	16	0	9	0	0	0	13	0	12	11	18	16	7	7	11	15	15	14	2	14	10	13	6	10	9	1	10	13	0	7	15	8	0	5	0	0	0	19	14	15	8	15	0	2	0	1	6	10	19	8
